i0,if,y0,z0,yf,zf
22,0,1.5,-16.894736842105264,0.5,-19.0
22,6,1.5,-16.894736842105264,0.5,-12.68421052631579
22,27,1.5,-16.894736842105264,1.5,-11.631578947368421
22,42,1.5,-16.894736842105264,2.5,-16.894736842105264
22,43,1.5,-16.894736842105264,2.5,-15.842105263157894
22,61,1.5,-16.894736842105264,3.5,-17.94736842105263
22,62,1.5,-16.894736842105264,3.5,-16.894736842105264
22,63,1.5,-16.894736842105264,3.5,-15.842105263157894
22,83,1.5,-16.894736842105264,4.5,-15.842105263157894
23,1,1.5,-15.842105263157894,0.5,-17.94736842105263
23,2,1.5,-15.842105263157894,0.5,-16.894736842105264
23,4,1.5,-15.842105263157894,0.5,-14.789473684210527
23,20,1.5,-15.842105263157894,1.5,-19.0
23,22,1.5,-15.842105263157894,1.5,-16.894736842105264
23,25,1.5,-15.842105263157894,1.5,-13.736842105263158
23,63,1.5,-15.842105263157894,3.5,-15.842105263157894
23,65,1.5,-15.842105263157894,3.5,-13.736842105263158
23,80,1.5,-15.842105263157894,4.5,-19.0
23,83,1.5,-15.842105263157894,4.5,-15.842105263157894
24,47,1.5,-14.789473684210527,2.5,-11.631578947368421
24,82,1.5,-14.789473684210527,4.5,-16.894736842105264
24,83,1.5,-14.789473684210527,4.5,-15.842105263157894
24,84,1.5,-14.789473684210527,4.5,-14.789473684210527
24,87,1.5,-14.789473684210527,4.5,-11.631578947368421
25,28,1.5,-13.736842105263158,1.5,-10.578947368421053
25,29,1.5,-13.736842105263158,1.5,-9.526315789473685
25,45,1.5,-13.736842105263158,2.5,-13.736842105263158
25,61,1.5,-13.736842105263158,3.5,-17.94736842105263
25,62,1.5,-13.736842105263158,3.5,-16.894736842105264
25,65,1.5,-13.736842105263158,3.5,-13.736842105263158
25,70,1.5,-13.736842105263158,3.5,-8.473684210526317
25,81,1.5,-13.736842105263158,4.5,-17.94736842105263
25,82,1.5,-13.736842105263158,4.5,-16.894736842105264
25,84,1.5,-13.736842105263158,4.5,-14.789473684210527
26,22,1.5,-12.68421052631579,1.5,-16.894736842105264
26,43,1.5,-12.68421052631579,2.5,-15.842105263157894
26,62,1.5,-12.68421052631579,3.5,-16.894736842105264
26,64,1.5,-12.68421052631579,3.5,-14.789473684210527
26,69,1.5,-12.68421052631579,3.5,-9.526315789473685
26,70,1.5,-12.68421052631579,3.5,-8.473684210526317
26,82,1.5,-12.68421052631579,4.5,-16.894736842105264
26,84,1.5,-12.68421052631579,4.5,-14.789473684210527
26,85,1.5,-12.68421052631579,4.5,-13.736842105263158
26,86,1.5,-12.68421052631579,4.5,-12.68421052631579
27,22,1.5,-11.631578947368421,1.5,-16.894736842105264
27,25,1.5,-11.631578947368421,1.5,-13.736842105263158
27,30,1.5,-11.631578947368421,1.5,-8.473684210526317
27,44,1.5,-11.631578947368421,2.5,-14.789473684210527
27,49,1.5,-11.631578947368421,2.5,-9.526315789473685
27,68,1.5,-11.631578947368421,3.5,-10.578947368421053
27,84,1.5,-11.631578947368421,4.5,-14.789473684210527
27,87,1.5,-11.631578947368421,4.5,-11.631578947368421
28,23,1.5,-10.578947368421053,1.5,-15.842105263157894
28,26,1.5,-10.578947368421053,1.5,-12.68421052631579
28,43,1.5,-10.578947368421053,2.5,-15.842105263157894
28,44,1.5,-10.578947368421053,2.5,-14.789473684210527
28,46,1.5,-10.578947368421053,2.5,-12.68421052631579
28,47,1.5,-10.578947368421053,2.5,-11.631578947368421
28,48,1.5,-10.578947368421053,2.5,-10.578947368421053
28,70,1.5,-10.578947368421053,3.5,-8.473684210526317
28,88,1.5,-10.578947368421053,4.5,-10.578947368421053
29,13,1.5,-9.526315789473685,0.5,-5.315789473684211
29,24,1.5,-9.526315789473685,1.5,-14.789473684210527
29,26,1.5,-9.526315789473685,1.5,-12.68421052631579
29,32,1.5,-9.526315789473685,1.5,-6.368421052631579
29,48,1.5,-9.526315789473685,2.5,-10.578947368421053
29,49,1.5,-9.526315789473685,2.5,-9.526315789473685
29,50,1.5,-9.526315789473685,2.5,-8.473684210526317
29,52,1.5,-9.526315789473685,2.5,-6.368421052631579
29,64,1.5,-9.526315789473685,3.5,-14.789473684210527
29,67,1.5,-9.526315789473685,3.5,-11.631578947368421
29,69,1.5,-9.526315789473685,3.5,-9.526315789473685
30,15,1.5,-8.473684210526317,0.5,-3.2105263157894743
30,26,1.5,-8.473684210526317,1.5,-12.68421052631579
30,29,1.5,-8.473684210526317,1.5,-9.526315789473685
30,31,1.5,-8.473684210526317,1.5,-7.421052631578949
30,32,1.5,-8.473684210526317,1.5,-6.368421052631579
30,50,1.5,-8.473684210526317,2.5,-8.473684210526317
30,71,1.5,-8.473684210526317,3.5,-7.421052631578949
30,90,1.5,-8.473684210526317,4.5,-8.473684210526317
31,27,1.5,-7.421052631578949,1.5,-11.631578947368421
31,50,1.5,-7.421052631578949,2.5,-8.473684210526317
31,51,1.5,-7.421052631578949,2.5,-7.421052631578949
31,68,1.5,-7.421052631578949,3.5,-10.578947368421053
31,70,1.5,-7.421052631578949,3.5,-8.473684210526317
31,88,1.5,-7.421052631578949,4.5,-10.578947368421053
32,47,1.5,-6.368421052631579,2.5,-11.631578947368421
32,51,1.5,-6.368421052631579,2.5,-7.421052631578949
32,93,1.5,-6.368421052631579,4.5,-5.315789473684211
33,30,1.5,-5.315789473684211,1.5,-8.473684210526317
33,92,1.5,-5.315789473684211,4.5,-6.368421052631579
33,93,1.5,-5.315789473684211,4.5,-5.315789473684211
34,90,1.5,-4.2631578947368425,4.5,-8.473684210526317
40,5,2.5,-19.0,0.5,-13.736842105263158
40,22,2.5,-19.0,1.5,-16.894736842105264
40,24,2.5,-19.0,1.5,-14.789473684210527
40,80,2.5,-19.0,4.5,-19.0
41,21,2.5,-17.94736842105263,1.5,-17.94736842105263
42,3,2.5,-16.894736842105264,0.5,-15.842105263157894
42,7,2.5,-16.894736842105264,0.5,-11.631578947368421
42,27,2.5,-16.894736842105264,1.5,-11.631578947368421
42,40,2.5,-16.894736842105264,2.5,-19.0
42,44,2.5,-16.894736842105264,2.5,-14.789473684210527
42,67,2.5,-16.894736842105264,3.5,-11.631578947368421
43,7,2.5,-15.842105263157894,0.5,-11.631578947368421
43,8,2.5,-15.842105263157894,0.5,-10.578947368421053
43,23,2.5,-15.842105263157894,1.5,-15.842105263157894
43,48,2.5,-15.842105263157894,2.5,-10.578947368421053
43,65,2.5,-15.842105263157894,3.5,-13.736842105263158
44,2,2.5,-14.789473684210527,0.5,-16.894736842105264
44,5,2.5,-14.789473684210527,0.5,-13.736842105263158
44,22,2.5,-14.789473684210527,1.5,-16.894736842105264
44,24,2.5,-14.789473684210527,1.5,-14.789473684210527
