i0,if,y0,z0,yf,zf
30,15,1.5,-8.473684210526317,0.5,-3.2105263157894743
30,26,1.5,-8.473684210526317,1.5,-12.68421052631579
30,29,1.5,-8.473684210526317,1.5,-9.526315789473685
30,31,1.5,-8.473684210526317,1.5,-7.421052631578949
30,32,1.5,-8.473684210526317,1.5,-6.368421052631579
30,50,1.5,-8.473684210526317,2.5,-8.473684210526317
30,60,1.5,-8.473684210526317,3.5,-19.0
30,62,1.5,-8.473684210526317,3.5,-16.894736842105264
30,71,1.5,-8.473684210526317,3.5,-7.421052631578949
30,80,1.5,-8.473684210526317,4.5,-19.0
30,90,1.5,-8.473684210526317,4.5,-8.473684210526317
30,96,1.5,-8.473684210526317,4.5,-2.157894736842106
31,27,1.5,-7.421052631578949,1.5,-11.631578947368421
31,44,1.5,-7.421052631578949,2.5,-14.789473684210527
31,50,1.5,-7.421052631578949,2.5,-8.473684210526317
31,51,1.5,-7.421052631578949,2.5,-7.421052631578949
31,61,1.5,-7.421052631578949,3.5,-17.94736842105263
31,68,1.5,-7.421052631578949,3.5,-10.578947368421053
31,70,1.5,-7.421052631578949,3.5,-8.473684210526317
31,82,1.5,-7.421052631578949,4.5,-16.894736842105264
31,88,1.5,-7.421052631578949,4.5,-10.578947368421053
32,24,1.5,-6.368421052631579,1.5,-14.789473684210527
32,47,1.5,-6.368421052631579,2.5,-11.631578947368421
32,51,1.5,-6.368421052631579,2.5,-7.421052631578949
32,66,1.5,-6.368421052631579,3.5,-12.68421052631579
32,93,1.5,-6.368421052631579,4.5,-5.315789473684211
33,23,1.5,-5.315789473684211,1.5,-15.842105263157894
33,30,1.5,-5.315789473684211,1.5,-8.473684210526317
33,47,1.5,-5.315789473684211,2.5,-11.631578947368421
33,61,1.5,-5.315789473684211,3.5,-17.94736842105263
33,63,1.5,-5.315789473684211,3.5,-15.842105263157894
33,64,1.5,-5.315789473684211,3.5,-14.789473684210527
33,82,1.5,-5.315789473684211,4.5,-16.894736842105264
33,83,1.5,-5.315789473684211,4.5,-15.842105263157894
33,86,1.5,-5.315789473684211,4.5,-12.68421052631579
33,92,1.5,-5.315789473684211,4.5,-6.368421052631579
33,93,1.5,-5.315789473684211,4.5,-5.315789473684211
34,27,1.5,-4.2631578947368425,1.5,-11.631578947368421
34,47,1.5,-4.2631578947368425,2.5,-11.631578947368421
34,90,1.5,-4.2631578947368425,4.5,-8.473684210526317
40,5,2.5,-19.0,0.5,-13.736842105263158
40,18,2.5,-19.0,0.5,-0.05263157894736992
40,22,2.5,-19.0,1.5,-16.894736842105264
40,24,2.5,-19.0,1.5,-14.789473684210527
40,37,2.5,-19.0,1.5,-1.1052631578947363
40,71,2.5,-19.0,3.5,-7.421052631578949
40,76,2.5,-19.0,3.5,-2.157894736842106
40,77,2.5,-19.0,3.5,-1.1052631578947363
40,78,2.5,-19.0,3.5,-0.05263157894736992
40,80,2.5,-19.0,4.5,-19.0
41,21,2.5,-17.94736842105263,1.5,-17.94736842105263
41,37,2.5,-17.94736842105263,1.5,-1.1052631578947363
41,68,2.5,-17.94736842105263,3.5,-10.578947368421053
41,77,2.5,-17.94736842105263,3.5,-1.1052631578947363
41,78,2.5,-17.94736842105263,3.5,-0.05263157894736992
41,98,2.5,-17.94736842105263,4.5,-0.05263157894736992
42,3,2.5,-16.894736842105264,0.5,-15.842105263157894
